Dominant_Topic,Topic_Perc_Contrib,Keywords
0,0.94014573097229,"company,financial,bank,may,loan,report,capital,institution,include,risk"
8,0.823431670665741,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.6460175514221191,"loan,interest,company,asset,financial,loss,security,value,rate,year"
10,0.5772088170051575,"loan,credit,value,loss,interest,asset,include,rate,net,income"
16,0.5159803032875061,"value,asset,financial,loss,interest,security,investment,note,credit,fair"
19,0.46334636211395264,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.9050478339195251,"company,property,interest,year,income,share,financial,lease,include,net"
16,0.42829978466033936,"value,asset,financial,loss,interest,security,investment,note,credit,fair"
8,0.48996424674987793,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.8123909831047058,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.7592791318893433,"company,property,interest,year,income,share,financial,lease,include,net"
11,0.9327242374420166,"investment,company,fund,financial,asset,share,income,net,year,management"
19,0.9378138780593872,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.49701210856437683,"loan,interest,company,asset,financial,loss,security,value,rate,year"
13,0.8717453479766846,"loan,financial,interest,income,value,security,asset,loss,rate,net"
18,0.8766843676567078,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
19,0.5217800140380859,"loan,interest,company,asset,financial,loss,security,value,rate,year"
13,0.9483152031898499,"loan,financial,interest,income,value,security,asset,loss,rate,net"
19,0.9565722942352295,"loan,interest,company,asset,financial,loss,security,value,rate,year"
17,0.6468928456306458,"investment,company,value,may,interest,stock,income,portfolio,net,asset"
15,0.4583311378955841,"trust,interest,unit,property,royalty,net,gas,production,price,income"
4,0.3288688063621521,"company,financial,year,stock,service,revenue,include,market,may,business"
12,0.42739060521125793,"property,may,interest,share,year,income,investment,value,rate,real"
1,0.8970715999603271,"insurance,company,loss,financial,year,value,premium,claim,mortgage,net"
19,0.6446022987365723,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.8580697774887085,"loan,interest,company,asset,financial,loss,security,value,rate,year"
2,0.8504320383071899,"company,investment,value,security,insurance,financial,income,loss,benefit,asset"
11,0.6728522777557373,"investment,company,fund,financial,asset,share,income,net,year,management"
12,0.48569971323013306,"property,may,interest,share,year,income,investment,value,rate,real"
3,0.4157140851020813,"company,loan,interest,financial,note,share,statement,agreement,real,director"
3,0.29794493317604065,"company,loan,interest,financial,note,share,statement,agreement,real,director"
4,0.8177992701530457,"company,financial,year,stock,service,revenue,include,market,may,business"
4,0.8746148347854614,"company,financial,year,stock,service,revenue,include,market,may,business"
13,0.7804397940635681,"loan,financial,interest,income,value,security,asset,loss,rate,net"
4,0.8187111020088196,"company,financial,year,stock,service,revenue,include,market,may,business"
8,0.8281582593917847,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.7906275391578674,"loan,interest,company,asset,financial,loss,security,value,rate,year"
13,0.565616250038147,"loan,financial,interest,income,value,security,asset,loss,rate,net"
4,0.7468236088752747,"company,financial,year,stock,service,revenue,include,market,may,business"
19,0.9148700833320618,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.7776976823806763,"company,financial,year,stock,service,revenue,include,market,may,business"
14,0.6936331391334534,"credit,financial,year,cash,company,interest,income,sale,end,loan"
11,0.536783754825592,"investment,company,fund,financial,asset,share,income,net,year,management"
8,0.5530401468276978,"company,property,interest,year,income,share,financial,lease,include,net"
18,0.8311018347740173,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
19,0.926417350769043,"loan,interest,company,asset,financial,loss,security,value,rate,year"
10,0.42652395367622375,"loan,credit,value,loss,interest,asset,include,rate,net,income"
19,0.7082886099815369,"loan,interest,company,asset,financial,loss,security,value,rate,year"
4,0.7396090626716614,"company,financial,year,stock,service,revenue,include,market,may,business"
8,0.37536704540252686,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.6967540383338928,"loan,interest,company,asset,financial,loss,security,value,rate,year"
